unique_id,text,principle_1_x,principle_2_x,principle_3_x,principle_4_x,principle_5_x,principle_6_x,llm_query,principle_1_y,principle_2_y,principle_3_y,principle_4_y,principle_5_y,principle_6_y,iteration
62,"In our opinion, the new legally binding instrument should take into account the principles and provisions of the UNFCCC particularly the historical responsibility, right to development of developing countries equitable share of atmospheric space and respective capabilities.",0,1,0,0,0,0,"62 In our opinion, the new legally binding instrument should take into account the principles and provisions of the UNFCCC particularly the historical responsibility, right to development of developing countries equitable share of atmospheric space and respective capabilities.
", 0 , 0 , 0 , 0 , 0 , 0,3
63,This new agreement should also ensure a balanced allocation of financial resources between adaptation and mitigation efforts for developing countries.,0,0,0,1,0,0,"63 This new agreement should also ensure a balanced allocation of financial resources between adaptation and mitigation efforts for developing countries.
", 0 , 0 , 0 , 0 , 0 , 0,1
63,This new agreement should also ensure a balanced allocation of financial resources between adaptation and mitigation efforts for developing countries.,0,0,0,1,0,0,"63 This new agreement should also ensure a balanced allocation of financial resources between adaptation and mitigation efforts for developing countries.
", 0 , 0 , 0 , 0 , 0 , 0,2
63,This new agreement should also ensure a balanced allocation of financial resources between adaptation and mitigation efforts for developing countries.,0,0,0,1,0,0,"63 This new agreement should also ensure a balanced allocation of financial resources between adaptation and mitigation efforts for developing countries.
", 0 , 0 , 0 , 0 , 0 , 0,2
63,This new agreement should also ensure a balanced allocation of financial resources between adaptation and mitigation efforts for developing countries.,0,0,0,1,0,0,"63 This new agreement should also ensure a balanced allocation of financial resources between adaptation and mitigation efforts for developing countries.
", 0 , 0 , 0 , 0 , 0 , 0,3
65,"Namibia believes that in order to achieve a comprehensive new agreement under the Durban Platform, we need a science-based approach to disentangle and unfold conceptual and statistical aspects underpinning issues related to historical responsibility, equity and respective capability.",0,1,0,0,0,0,"65 Namibia believes that in order to achieve a comprehensive new agreement under the Durban Platform, we need a science-based approach to disentangle and unfold conceptual and statistical aspects underpinning issues related to historical responsibility, equity and respective capability.
", 0 , 0 , 0 , 0 , 0 , 0,1
65,"Namibia believes that in order to achieve a comprehensive new agreement under the Durban Platform, we need a science-based approach to disentangle and unfold conceptual and statistical aspects underpinning issues related to historical responsibility, equity and respective capability.",0,1,0,0,0,0,"65 Namibia believes that in order to achieve a comprehensive new agreement under the Durban Platform, we need a science-based approach to disentangle and unfold conceptual and statistical aspects underpinning issues related to historical responsibility, equity and respective capability.
", 0 , 0 , 0 , 0 , 0 , 0,2
65,"Namibia believes that in order to achieve a comprehensive new agreement under the Durban Platform, we need a science-based approach to disentangle and unfold conceptual and statistical aspects underpinning issues related to historical responsibility, equity and respective capability.",0,1,0,0,0,0,"65 Namibia believes that in order to achieve a comprehensive new agreement under the Durban Platform, we need a science-based approach to disentangle and unfold conceptual and statistical aspects underpinning issues related to historical responsibility, equity and respective capability.
", 0 , 0 , 0 , 0 , 0 , 0,3
70,"Therefore, it is the hope of the citizens of the world that 19 years down the line, we should have better addressed the challenges and well equipped ourselves to better deal with climate change.",0,0,1,0,0,0,"70 Therefore, it is the hope of the citizens of the world that 19 years down the line, we should have better addressed the challenges and well equipped ourselves to better deal with climate change.
", 0 , 0 , 0 , 0 , 0 , 0,1
70,"Therefore, it is the hope of the citizens of the world that 19 years down the line, we should have better addressed the challenges and well equipped ourselves to better deal with climate change.",0,0,1,0,0,0,"70 Therefore, it is the hope of the citizens of the world that 19 years down the line, we should have better addressed the challenges and well equipped ourselves to better deal with climate change.
", 0 , 0 , 0 , 0 , 0 , 0,2
70,"Therefore, it is the hope of the citizens of the world that 19 years down the line, we should have better addressed the challenges and well equipped ourselves to better deal with climate change.",0,0,1,0,0,0,"70 Therefore, it is the hope of the citizens of the world that 19 years down the line, we should have better addressed the challenges and well equipped ourselves to better deal with climate change.
", 0 , 0 , 0 , 0 , 0 , 0,3
72,"The Green Climate Fund, which we regarded as an ideal beginning to address the finance aspect for climate change remainsdry.",0,0,0,1,0,0,"72 The Green Climate Fund, which we regarded as an ideal beginning to address the finance aspect for climate change remainsdry.
", 0 , 0 , 0 , 1 , 0 , 0,1
72,"The Green Climate Fund, which we regarded as an ideal beginning to address the finance aspect for climate change remainsdry.",0,0,0,1,0,0,"72 The Green Climate Fund, which we regarded as an ideal beginning to address the finance aspect for climate change remainsdry.
", 0 , 0 , 0 , 1 , 0 , 0,2
72,"The Green Climate Fund, which we regarded as an ideal beginning to address the finance aspect for climate change remainsdry.",0,0,0,1,0,0,"72 The Green Climate Fund, which we regarded as an ideal beginning to address the finance aspect for climate change remainsdry.
", 0 , 0 , 0 , 1 , 0 , 0,3
78,"The cost of inaction to, adequately, address climate change will haunt us all.",1,0,0,0,0,0,"78 The cost of inaction to, adequately, address climate change will haunt us all.
", 0 , 0 , 0 , 0 , 0 , 0,1
78,"The cost of inaction to, adequately, address climate change will haunt us all.",1,0,0,0,0,0,"78 The cost of inaction to, adequately, address climate change will haunt us all.
", 0 , 0 , 0 , 0 , 0 , 0,2
78,"The cost of inaction to, adequately, address climate change will haunt us all.",1,0,0,0,0,0,"78 The cost of inaction to, adequately, address climate change will haunt us all.
", 0 , 0 , 0 , 0 , 0 , 0,3
79,"The time to take meaningful and proactive steps against the adverse impacts of climate change is now, here in Warsaw.",1,0,0,0,0,0,"79 The time to take meaningful and proactive steps against the adverse impacts of climate change is now, here in Warsaw.
", 0 , 0 , 0 , 0 , 0 , 0,1
79,"The time to take meaningful and proactive steps against the adverse impacts of climate change is now, here in Warsaw.",1,0,0,0,0,0,"79 The time to take meaningful and proactive steps against the adverse impacts of climate change is now, here in Warsaw.
", 0 , 0 , 0 , 0 , 0 , 0,2
79,"The time to take meaningful and proactive steps against the adverse impacts of climate change is now, here in Warsaw.",1,0,0,0,0,0,"79 The time to take meaningful and proactive steps against the adverse impacts of climate change is now, here in Warsaw.
", 0 , 0 , 0 , 0 , 0 , 0,3
80,This is a defining moment of whether or not we can save the lives of the future generations on this Planet.,0,0,1,0,0,0,"80 This is a defining moment of whether or not we can save the lives of the future generations on this Planet.
", 0 , 0 , 0 , 0 , 0 , 0,1
80,This is a defining moment of whether or not we can save the lives of the future generations on this Planet.,0,0,1,0,0,0,"80 This is a defining moment of whether or not we can save the lives of the future generations on this Planet.
", 0 , 0 , 0 , 0 , 0 , 0,2
80,This is a defining moment of whether or not we can save the lives of the future generations on this Planet.,0,0,1,0,0,0,"80 This is a defining moment of whether or not we can save the lives of the future generations on this Planet.
", 0 , 0 , 0 , 0 , 0 , 0,3
81,"It is for this reason, and most importantly, that Warsaw should therefore deliver to a World Decision that saves lives.",0,0,1,0,0,0,"81 It is for this reason, and most importantly, that Warsaw should therefore deliver to a World Decision that saves lives.
", 0 , 0 , 0 , 0 , 0 , 0,1
81,"It is for this reason, and most importantly, that Warsaw should therefore deliver to a World Decision that saves lives.",0,0,1,0,0,0,"81 It is for this reason, and most importantly, that Warsaw should therefore deliver to a World Decision that saves lives.
", 0 , 0 , 0 , 0 , 0 , 0,2
81,"It is for this reason, and most importantly, that Warsaw should therefore deliver to a World Decision that saves lives.",0,0,1,0,0,0,"81 It is for this reason, and most importantly, that Warsaw should therefore deliver to a World Decision that saves lives.
", 0 , 0 , 0 , 0 , 0 , 0,3
98,"Mr. President, Sierra Leone submits that adaptation must assume a prominent place on the climate agenda with a balance view to necessary mitigation actions, if we are to overcome poverty and achieve the Millennium Development Goals.",0,0,0,0,1,0,"98 Mr. President, Sierra Leone submits that adaptation must assume a prominent place on the climate agenda with a balance view to necessary mitigation actions, if we are to overcome poverty and achieve the Millennium Development Goals.
", 0 , 0 , 0 , 0 , 0 , 0,1
98,"Mr. President, Sierra Leone submits that adaptation must assume a prominent place on the climate agenda with a balance view to necessary mitigation actions, if we are to overcome poverty and achieve the Millennium Development Goals.",0,0,0,0,1,0,"98 Mr. President, Sierra Leone submits that adaptation must assume a prominent place on the climate agenda with a balance view to necessary mitigation actions, if we are to overcome poverty and achieve the Millennium Development Goals.
", 0 , 0 , 0 , 0 , 0 , 0,2
98,"Mr. President, Sierra Leone submits that adaptation must assume a prominent place on the climate agenda with a balance view to necessary mitigation actions, if we are to overcome poverty and achieve the Millennium Development Goals.",0,0,0,0,1,0,"98 Mr. President, Sierra Leone submits that adaptation must assume a prominent place on the climate agenda with a balance view to necessary mitigation actions, if we are to overcome poverty and achieve the Millennium Development Goals.
", 0 , 0 , 0 , 0 , 0 , 0,3
99,"To this end, Sierra Leone joins the LDCs and African Groups to call for concrete commitments in Warsaw towards fulfilling the promised of one hundred billion united states dollars per year by 2020 as committed by developed country Parties and underscore the need for a clear climate finance roadmap to scale up financial resources in order to avoid the funding gap from 2013 to 2015.",0,0,0,1,0,0,"99 To this end, Sierra Leone joins the LDCs and African Groups to call for concrete commitments in Warsaw towards fulfilling the promised of one hundred billion united states dollars per year by 2020 as committed by developed country Parties and underscore the need for a clear climate finance roadmap to scale up financial resources in order to avoid the funding gap from 2013 to 2015.
", 0 , 0 , 0 , 1 , 0 , 0,1
99,"To this end, Sierra Leone joins the LDCs and African Groups to call for concrete commitments in Warsaw towards fulfilling the promised of one hundred billion united states dollars per year by 2020 as committed by developed country Parties and underscore the need for a clear climate finance roadmap to scale up financial resources in order to avoid the funding gap from 2013 to 2015.",0,0,0,1,0,0,"99 To this end, Sierra Leone joins the LDCs and African Groups to call for concrete commitments in Warsaw towards fulfilling the promised of one hundred billion united states dollars per year by 2020 as committed by developed country Parties and underscore the need for a clear climate finance roadmap to scale up financial resources in order to avoid the funding gap from 2013 to 2015.
", 0 , 0 , 0 , 1 , 0 , 0,2
99,"To this end, Sierra Leone joins the LDCs and African Groups to call for concrete commitments in Warsaw towards fulfilling the promised of one hundred billion united states dollars per year by 2020 as committed by developed country Parties and underscore the need for a clear climate finance roadmap to scale up financial resources in order to avoid the funding gap from 2013 to 2015.",0,0,0,1,0,0,"99 To this end, Sierra Leone joins the LDCs and African Groups to call for concrete commitments in Warsaw towards fulfilling the promised of one hundred billion united states dollars per year by 2020 as committed by developed country Parties and underscore the need for a clear climate finance roadmap to scale up financial resources in order to avoid the funding gap from 2013 to 2015.
", 0 , 0 , 0 , 1 , 0 , 0,3
107,Typhoon Haiyan has once again gravely reminded us of the looming disaster and the urgent imperative to put aside the endless rhetoric and act NOW.,0,0,1,0,0,0,"107 Typhoon Haiyan has once again gravely reminded us of the looming disaster and the urgent imperative to put aside the endless rhetoric and act NOW.
", 0 , 0 , 0 , 0 , 0 , 0,1
107,Typhoon Haiyan has once again gravely reminded us of the looming disaster and the urgent imperative to put aside the endless rhetoric and act NOW.,0,0,1,0,0,0,"107 Typhoon Haiyan has once again gravely reminded us of the looming disaster and the urgent imperative to put aside the endless rhetoric and act NOW.
", 0 , 0 , 0 , 0 , 0 , 0,2
107,Typhoon Haiyan has once again gravely reminded us of the looming disaster and the urgent imperative to put aside the endless rhetoric and act NOW.,0,0,1,0,0,0,"107 Typhoon Haiyan has once again gravely reminded us of the looming disaster and the urgent imperative to put aside the endless rhetoric and act NOW.
", 0 , 0 , 1 , 0 , 0 , 0,2
107,Typhoon Haiyan has once again gravely reminded us of the looming disaster and the urgent imperative to put aside the endless rhetoric and act NOW.,0,0,1,0,0,0,"107 Typhoon Haiyan has once again gravely reminded us of the looming disaster and the urgent imperative to put aside the endless rhetoric and act NOW.
", 0 , 0 , 0 , 0 , 0 , 0,3
125,"We urge, all parties here in Warsaw to take decisions on mitigation efforts, including market and non market mechanisms which will facilitate the parties to reduce their respective green house gas emissions, especially the non Kyoto ProtocolAnnex I countries.",0,0,0,1,0,0,"125 We urge, all parties here in Warsaw to take decisions on mitigation efforts, including market and non market mechanisms which will facilitate the parties to reduce their respective green house gas emissions, especially the non Kyoto ProtocolAnnex I countries.
", 0 , 0 , 0 , 0 , 0 , 0,1
125,"We urge, all parties here in Warsaw to take decisions on mitigation efforts, including market and non market mechanisms which will facilitate the parties to reduce their respective green house gas emissions, especially the non Kyoto ProtocolAnnex I countries.",0,0,0,1,0,0,"125 We urge, all parties here in Warsaw to take decisions on mitigation efforts, including market and non market mechanisms which will facilitate the parties to reduce their respective green house gas emissions, especially the non Kyoto ProtocolAnnex I countries.
", 0 , 0 , 0 , 0 , 0 , 0,2
125,"We urge, all parties here in Warsaw to take decisions on mitigation efforts, including market and non market mechanisms which will facilitate the parties to reduce their respective green house gas emissions, especially the non Kyoto ProtocolAnnex I countries.",0,0,0,1,0,0,"125 We urge, all parties here in Warsaw to take decisions on mitigation efforts, including market and non market mechanisms which will facilitate the parties to reduce their respective green house gas emissions, especially the non Kyoto ProtocolAnnex I countries.
", 0 , 0 , 0 , 0 , 0 , 0,3
126,"We believe that, Nationally Appropriate Mitigation Actions (NAMAs) will fully operationalized with strong supports provided by the Annex I countries under the non market mechanism one.",0,0,0,1,0,0,"126 We believe that, Nationally Appropriate Mitigation Actions (NAMAs) will fully operationalized with strong supports provided by the Annex I countries under the non market mechanism one.
", 0 , 0 , 0 , 0 , 0 , 0,1
126,"We believe that, Nationally Appropriate Mitigation Actions (NAMAs) will fully operationalized with strong supports provided by the Annex I countries under the non market mechanism one.",0,0,0,1,0,0,"126 We believe that, Nationally Appropriate Mitigation Actions (NAMAs) will fully operationalized with strong supports provided by the Annex I countries under the non market mechanism one.
", 0 , 0 , 0 , 0 , 0 , 0,2
126,"We believe that, Nationally Appropriate Mitigation Actions (NAMAs) will fully operationalized with strong supports provided by the Annex I countries under the non market mechanism one.",0,0,0,1,0,0,"126 We believe that, Nationally Appropriate Mitigation Actions (NAMAs) will fully operationalized with strong supports provided by the Annex I countries under the non market mechanism one.
", 0 , 0 , 0 , 0 , 0 , 0,3
130,"We must also take decisions on finance, technology and capacity building to supportadaptation and mitigation measures.",1,0,0,0,0,0,"130 We must also take decisions on finance, technology and capacity building to supportadaptation and mitigation measures.
", 0 , 0 , 0 , 0 , 0 , 0,1
130,"We must also take decisions on finance, technology and capacity building to supportadaptation and mitigation measures.",1,0,0,0,0,0,"130 We must also take decisions on finance, technology and capacity building to supportadaptation and mitigation measures.
", 0 , 0 , 1 , 0 , 0 , 0,2
130,"We must also take decisions on finance, technology and capacity building to supportadaptation and mitigation measures.",1,0,0,0,0,0,"130 We must also take decisions on finance, technology and capacity building to supportadaptation and mitigation measures.
", 0 , 0 , 0 , 0 , 0 , 0,3
131,"We urge parties to take decisions on simplificationof mechanism and procedures for both CDM and accessing climate finance bydeveloping country parties with recognizing of the country ownership, direct access andtransparency principles.",0,0,0,1,0,0,"131 We urge parties to take decisions on simplificationof mechanism and procedures for both CDM and accessing climate finance bydeveloping country parties with recognizing of the country ownership, direct access andtransparency principles.
", 0 , 0 , 0 , 0 , 0 , 0,1
131,"We urge parties to take decisions on simplificationof mechanism and procedures for both CDM and accessing climate finance bydeveloping country parties with recognizing of the country ownership, direct access andtransparency principles.",0,0,0,1,0,0,"131 We urge parties to take decisions on simplificationof mechanism and procedures for both CDM and accessing climate finance bydeveloping country parties with recognizing of the country ownership, direct access andtransparency principles.
", 0 , 0 , 0 , 0 , 0 , 0,2
131,"We urge parties to take decisions on simplificationof mechanism and procedures for both CDM and accessing climate finance bydeveloping country parties with recognizing of the country ownership, direct access andtransparency principles.",0,0,0,1,0,0,"131 We urge parties to take decisions on simplificationof mechanism and procedures for both CDM and accessing climate finance bydeveloping country parties with recognizing of the country ownership, direct access andtransparency principles.
", 0 , 0 , 0 , 0 , 0 , 0,3
132,"It is also important to identify source of long term finance thatcould be from public finance of Annex I country parties, as well as seeking clarity of thestatus of fast start financing.",1,0,0,0,0,0,"132 It is also important to identify source of long term finance thatcould be from public finance of Annex I country parties, as well as seeking clarity of thestatus of fast start financing.
", 0 , 0 , 0 , 0 , 0 , 0,1
132,"It is also important to identify source of long term finance thatcould be from public finance of Annex I country parties, as well as seeking clarity of thestatus of fast start financing.",1,0,0,0,0,0,"132 It is also important to identify source of long term finance thatcould be from public finance of Annex I country parties, as well as seeking clarity of thestatus of fast start financing.
", 0 , 0 , 0 , 0 , 0 , 0,2
132,"It is also important to identify source of long term finance thatcould be from public finance of Annex I country parties, as well as seeking clarity of thestatus of fast start financing.",1,0,0,0,0,0,"132 It is also important to identify source of long term finance thatcould be from public finance of Annex I country parties, as well as seeking clarity of thestatus of fast start financing.
", 0 , 0 , 0 , 0 , 0 , 0,3
133,"In the same way, we kindly request the Annex I countryparties to provide a sustainability of financial support for formulation and implementationof National Adaptation Plans (NAPs) as well as Nationally Appropriate Mitigation Actions(NAMAs) by developing country parties, with special attention to the principle ofsustainability, transparency, flexibility as well as country ownership and direct accessmodality.",0,0,0,1,0,0,"133 In the same way, we kindly request the Annex I countryparties to provide a sustainability of financial support for formulation and implementationof National Adaptation Plans (NAPs) as well as Nationally Appropriate Mitigation Actions(NAMAs) by developing country parties, with special attention to the principle ofsustainability, transparency, flexibility as well as country ownership and direct accessmodality.
", 0 , 0 , 0 , 0 , 0 , 0,1
133,"In the same way, we kindly request the Annex I countryparties to provide a sustainability of financial support for formulation and implementationof National Adaptation Plans (NAPs) as well as Nationally Appropriate Mitigation Actions(NAMAs) by developing country parties, with special attention to the principle ofsustainability, transparency, flexibility as well as country ownership and direct accessmodality.",0,0,0,1,0,0,"133 In the same way, we kindly request the Annex I countryparties to provide a sustainability of financial support for formulation and implementationof National Adaptation Plans (NAPs) as well as Nationally Appropriate Mitigation Actions(NAMAs) by developing country parties, with special attention to the principle ofsustainability, transparency, flexibility as well as country ownership and direct accessmodality.
", 0 , 0 , 0 , 0 , 0 , 0,2
133,"In the same way, we kindly request the Annex I countryparties to provide a sustainability of financial support for formulation and implementationof National Adaptation Plans (NAPs) as well as Nationally Appropriate Mitigation Actions(NAMAs) by developing country parties, with special attention to the principle ofsustainability, transparency, flexibility as well as country ownership and direct accessmodality.",0,0,0,1,0,0,"133 In the same way, we kindly request the Annex I countryparties to provide a sustainability of financial support for formulation and implementationof National Adaptation Plans (NAPs) as well as Nationally Appropriate Mitigation Actions(NAMAs) by developing country parties, with special attention to the principle ofsustainability, transparency, flexibility as well as country ownership and direct accessmodality.
", 0 , 0 , 0 , 0 , 0 , 0,3
134,"Lastly, Mr. President,Regarding 2015 agreement, we must start our negotiation in a comprehensive mannerhere in Warsaw in order to achieve it in a timely manner.",1,0,0,0,0,0,"134 Lastly, Mr. President,Regarding 2015 agreement, we must start our negotiation in a comprehensive mannerhere in Warsaw in order to achieve it in a timely manner.
", 0 , 0 , 0 , 0 , 0 , 0,1
134,"Lastly, Mr. President,Regarding 2015 agreement, we must start our negotiation in a comprehensive mannerhere in Warsaw in order to achieve it in a timely manner.",1,0,0,0,0,0,"134 Lastly, Mr. President,Regarding 2015 agreement, we must start our negotiation in a comprehensive mannerhere in Warsaw in order to achieve it in a timely manner.
", 0 , 0 , 0 , 0 , 0 , 0,2
134,"Lastly, Mr. President,Regarding 2015 agreement, we must start our negotiation in a comprehensive mannerhere in Warsaw in order to achieve it in a timely manner.",1,0,0,0,0,0,"134 Lastly, Mr. President,Regarding 2015 agreement, we must start our negotiation in a comprehensive mannerhere in Warsaw in order to achieve it in a timely manner.
", 0 , 0 , 0 , 0 , 0 , 0,3
135,We should apply principlecommon but differentiated responsibility and respective capabilities*the new climateregime. ,0,1,0,0,0,0,"135 We should apply principlecommon but differentiated responsibility and respective capabilities*the new climateregime. 
", 0 , 0 , 0 , 0 , 0 , 0,1
135,We should apply principlecommon but differentiated responsibility and respective capabilities*the new climateregime. ,0,1,0,0,0,0,"135 We should apply principlecommon but differentiated responsibility and respective capabilities*the new climateregime. 
", 0 , 1 , 0 , 0 , 0 , 0,2
135,We should apply principlecommon but differentiated responsibility and respective capabilities*the new climateregime. ,0,1,0,0,0,0,"135 We should apply principlecommon but differentiated responsibility and respective capabilities*the new climateregime. 
", 0 , 0 , 0 , 0 , 0 , 0,3
136,"In this regard, developed country parties should take the lead, including finance,technology and capacity building for developing countries to address adaptationmeasures.",0,0,0,1,0,0,"136 In this regard, developed country parties should take the lead, including finance,technology and capacity building for developing countries to address adaptationmeasures.
", 0 , 0 , 0 , 0 , 0 , 0,1
