unique_id,text,PRINCIPLE_x,TOPIC_x,UNIT_x,SHAPE_x,llm_query,PRINCIPLE_y,TOPIC_y,UNIT_y,SHAPE_y,iteration
72,"Hence, I strongly call upon the countries with higher emissions to take leadership in reducing their emissions to secure a safer planet.",utilitarian,other,other,proportional to contribution,"72 Hence, I strongly call upon the countries with higher emissions to take leadership in reducing their emissions to secure a safer planet.
",utilitarian,mitigation,responsibility,proportional to contribution,1
75,"Therefore, I call upon alldeveloped countries to ensure new, additional and predictable financial support to secure the lives and livelihoods of the most vulnerable countries including small mountainous developing states.",prioritarian,financial mechanisms,financial resources,priority to worst off,"75 Therefore, I call upon alldeveloped countries to ensure new, additional and predictable financial support to secure the lives and livelihoods of the most vulnerable countries including small mountainous developing states.
",prioritarian,financial mechanisms,financial resources,priority to worst off,1
77,"As Lord Buddha said, we are here not to blame each other for past faults but to find middle path for peace and prosperity,I urge that we all unite for a fair, ambitious and legally- binding Agreement here in Paris to secure a climate resilient and sustainable future.",utilitarian,new UNFCCC policy,not indicated,equity,"77 As Lord Buddha said, we are here not to blame each other for past faults but to find middle path for peace and prosperity,I urge that we all unite for a fair, ambitious and legally- binding Agreement here in Paris to secure a climate resilient and sustainable future.
",egalitarian,cooperation,responsibility,equality,1
87,"As we move forward , we must employ an inclusive , long-term and collaborative process to build the resilience of our economic, social and environmental systems .",general normative statement,new UNFCCC policy,not indicated,not indicated,"87 As we move forward , we must employ an inclusive , long-term and collaborative process to build the resilience of our economic, social and environmental systems .
",egalitarian,adaptation,responsibility,equality,1
88,"This, however, requires predictable , adequate and fast-tracked financing , at scale , to allow us to meaningfully and effectively face these escalating threats .",general normative statement,new UNFCCC policy,not indicated,not indicated,"88 This, however, requires predictable , adequate and fast-tracked financing , at scale , to allow us to meaningfully and effectively face these escalating threats .
",sufficientarian,financial mechanisms,financial resources,needs based,1
95,This requires global commitment and action.,egalitarian,new UNFCCC policy,responsibility,equality,"95 This requires global commitment and action.
",utilitarian,urgency,responsibility,not indicated,1
243," An annual increase in SDRs of $500bn for 20 years put in a Trust to finance the transition is the REAL gap we need to close, not the $50bn being proposed FOR adaptation.",general normative statement,financial mechanisms,financial resources,not indicated,"243  An annual increase in SDRs of $500bn for 20 years put in a Trust to finance the transition is the REAL gap we need to close, not the $50bn being proposed FOR adaptation.
",utilitarian,financial mechanisms,financial resources,not indicated,1
251,Our people and our planet need it.,utilitarian,urgency,responsibility,not indicated,"251 Our people and our planet need it.
",utilitarian,urgency,not indicated,not indicated,1
270,"There is a critical need to leverage knowle dge-sharing and technology -transfer, including within the Paris Agreement.",egalitarian,UNFCCC agreements and principles,technological resources,not indicated,"270 There is a critical need to leverage knowle dge-sharing and technology -transfer, including within the Paris Agreement.
",egalitarian,cooperation,technological resources,equality,1
280,"In this regard, we require bold solutions, and development models that are fair, equitable, and sustainable.",egalitarian,new UNFCCC policy,not indicated,not indicated,"280 In this regard, we require bold solutions, and development models that are fair, equitable, and sustainable.
",egalitarian,new UNFCCC policy,not indicated,equity,1
287,"In order to attain our goals, we need everyone on board, governments, and even more our people and private sector.",egalitarian,other,not indicated,not indicated,"287 In order to attain our goals, we need everyone on board, governments, and even more our people and private sector.
",egalitarian,cooperation,responsibility,equality,1
311, What we need now is a conduc ive environment to accelerate progress globally .,egalitarian,urgency,not indicated,not indicated,"311  What we need now is a conduc ive environment to accelerate progress globally .
",utilitarian,urgency,not indicated,not indicated,1
313, We will only reach these goals when innovations and good practices will be accessible to everyone.,egalitarian,other,financial and technological resources,not indicated,"313  We will only reach these goals when innovations and good practices will be accessible to everyone.
",egalitarian,cooperation,technological resources,equality,1
315, In Europe we need to create the right incentives to support our economy in realizing this ambition.,libertarian,other,financial resources,not indicated,"315  In Europe we need to create the right incentives to support our economy in realizing this ambition.
",utilitarian,new UNFCCC policy,support,not indicated,1
325," Mr. President, Your Excellencies,  Ladies and Gentlemen,   We're only going to get this under control if we work together, And if our citizens engage in creating a more prosperous, more inclusive and healthier society.",egalitarian,cooperation,not indicated,not indicated,"325  Mr. President, Your Excellencies,  Ladies and Gentlemen,   We're only going to get this under control if we work together, And if our citizens engage in creating a more prosperous, more inclusive and healthier society.
",egalitarian,cooperation,responsibility,equality,1
